,biol_act,num_of_crit_points,num_of_3_minus_1,num_of_3_plus_1,num_of_3_plus_3,sum_rol,sum_roe,sum_rolroe,sum_rolroe_ala,sum_rolroe_arg,sum_rolroe_asn,sum_rolroe_asp,sum_rolroe_cys,sum_rolroe_glu,sum_rolroe_gln,sum_rolroe_gly,sum_rolroe_his,sum_rolroe_ile,sum_rolroe_leu,sum_rolroe_lys,sum_rolroe_met,sum_rolroe_phe,sum_rolroe_pro,sum_rolroe_ser,sum_rolroe_thr,sum_rolroe_trp,sum_rolroe_tyr,sum_rolroe_val,sum_rolroe_hoh,sum_rol_h,sum_rol_c,sum_rol_n,sum_rol_o,sum_rol_f,sum_rol_p,sum_rol_s,sum_rol_cl,sum_rol_br,sum_rol_i,yon_3_minus_1,yon_3_plus_1,yon_3_plus_3,yon_rolroe_ala,yon_rolroe_arg,yon_rolroe_asn,yon_rolroe_asp,yon_rolroe_cys,yon_rolroe_glu,yon_rolroe_gln,yon_rolroe_gly,yon_rolroe_his,yon_rolroe_ile,yon_rolroe_leu,yon_rolroe_lys,yon_rolroe_met,yon_rolroe_phe,yon_rolroe_pro,yon_rolroe_ser,yon_rolroe_thr,yon_rolroe_trp,yon_rolroe_tyr,yon_rolroe_val,yon_rolroe_hoh,yon_rol_h,yon_rol_c,yon_rol_n,yon_rol_o,yon_rol_f,yon_rol_p,yon_rol_s,yon_rol_cl,yon_rol_br,yon_rol_i
1bdq,6.34,92,63,28,1,2.7718675999999998,2.6687432999999996,5.440610899999999,0.9868123,0.35518819999999995,0.0,0.8993011,0.0,0.0,0.0,1.1564097,0.0,1.5467844,0.0,0.0,0.0,0.0,0.158431,0.0,0.0,0.0,0.0,0.0472567,0.2904275,4.7757556999999995,0.3366503,0.1117551,0.2164498,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1bv7,10.3,119,75,42,2,3.1423918000000004,3.2374852999999995,6.3798771,0.1745652,0.0,0.0,1.5131821999999997,0.0,0.0,0.0,1.3773227000000001,0.0,2.4334807000000005,0.0,0.0,0.0,0.2789018,0.4458166,0.0,0.0,0.0,0.0,0.0845963,0.07201160000000001,3.7132552999999997,0.9178914,0.422401,1.1653219000000001,0.0,0.0,0.1610075,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1bv9,9.96,120,78,42,0,3.2595293999999995,3.1880348000000005,6.4475642,0.147703,0.1773366,0.0,1.7949005000000002,0.0,0.0,0.0,1.6343133,0.0,1.2872234,0.0,0.0173809,0.0,0.0,0.4049451,0.0,0.0,0.0,0.0,0.7124151000000001,0.27134630000000004,3.7499891,0.8718705000000001,0.558811,1.085523,0.0,0.0,0.1813706,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1bwa,8.6,111,70,41,0,2.9683644,3.0024279000000003,5.9707923,0.1685991,0.0252659,0.0,1.9100447,0.0,0.0,0.0,1.3476943,0.0,1.4089779999999998,0.0,0.0,0.0,0.0,0.4197714,0.0,0.0,0.0,0.0,0.44813030000000004,0.24230860000000004,3.2406778,0.7446412999999998,0.4541542,1.3852224,0.0,0.0,0.14609660000000002,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1bwb,8.42,113,70,41,2,3.2657670999999997,3.3286458000000003,6.5944129,0.1465594,0.0476727,0.0,2.2814885,0.0,0.0,0.0,1.3129296,0.0,1.3464398,0.0,0.1773737,0.0,0.0,0.6164531,0.0,0.0,0.0,0.0,0.5080875,0.1574086,4.0718423,0.9841985,0.37173259999999997,1.1666395,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1c70,10.3,113,80,32,1,2.6967038000000003,2.6519625,5.3486663,0.577396,0.2561618,0.0,1.6224862,0.0,0.0,0.0,0.7033564,0.0,0.992152,0.062386500000000004,0.0,0.0,0.0,0.1971242,0.0,0.1461242,0.0,0.0,0.414038,0.377441,3.898161600000001,0.7895178,0.0,0.6609868999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1d4h,10.0,112,79,33,0,2.7376744,2.6128367,5.3505111,0.4811934,0.19185560000000002,0.0,1.7426112999999999,0.0,0.0,0.0,0.9352962,0.0,0.6023343,0.2914424,0.0,0.0,0.0,0.236408,0.0,0.0,0.0,0.0,0.23022720000000002,0.6391427000000001,3.9328519,0.7011725,0.0,0.7164867000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1d4i,8.85,118,86,31,1,2.610078599999999,2.5693043,5.179382899999999,0.44697,0.14057019999999998,0.0,1.8227937000000003,0.0,0.0,0.0,0.8662687999999998,0.0,0.6626667999999998,0.22786810000000002,0.0,0.0,0.0,0.2267187,0.0,0.0,0.0,0.0,0.25532009999999994,0.5302065,3.7390447,0.7580792,0.0,0.682259,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1d4j,8.36,105,77,27,1,2.4747996,2.3875266,4.8623262,0.3212641,0.2613295,0.0,1.5678325000000002,0.0,0.0,0.0,0.8068630000000001,0.0,0.6028446000000001,0.2187286,0.0,0.0,0.0,0.1957735,0.0,0.0,0.0,0.0,0.2505119,0.6371784999999999,3.3108056,0.7277359,0.0,0.6948445,0.0213057,0.0,0.0,0.1076345,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0
1d4k,9.22,98,70,28,0,3.328128,3.1685167000000005,6.496644700000001,0.29442999999999997,1.6319624,0.0,1.8314320999999998,0.0,0.0,0.0,0.9381098999999999,0.0,0.8681207,0.1315923,0.0,0.0,0.0,0.1191878,0.0,0.0,0.0,0.0,0.2868095,0.39499999999999996,5.3165654,0.4157414,0.0,0.7643378999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1d4l,8.77,90,62,27,1,2.5940075,2.5257867000000003,5.1197942,0.543825,0.1401926,0.0,1.5013359,0.0,0.0,0.0,0.9009600000000001,0.0,0.9852254000000003,0.049127000000000004,0.0,0.0,0.0,0.31412,0.0,0.0,0.0,0.0,0.42493380000000003,0.2600745,4.0269832,0.1555011,0.0,0.9373099,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1d4y,11.1,72,56,15,1,1.784435,1.7343652,3.5188002000000003,0.2422052,0.0846132,0.0,0.7527668000000001,0.0,0.0,0.0,0.5327314000000001,0.0,1.0414861,0.0998445,0.0,0.0,0.0,0.06909219999999999,0.0,0.0,0.0,0.0,0.20696219999999999,0.4890986,2.0348262,0.3215823,0.19583450000000002,0.8564928,0.1100644,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
1dif,10.66,122,92,30,0,2.7633987,2.6055307,5.368929400000001,0.5435009000000001,0.2214106,0.0,1.4796386000000001,0.0,0.0,0.0,0.9783361000000002,0.0,1.0709704,0.0864647,0.0,0.0,0.0,0.2314053,0.0,0.0,0.0,0.0,0.38479319999999995,0.3724096,3.4856456,0.8507302999999999,0.0186079,0.8448988,0.1690468,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
1dmp,9.55,90,58,32,0,2.3633380999999996,2.3624247,4.7257628,0.1779362,0.24665769999999998,0.0,1.5305414000000002,0.0,0.0,0.0,0.8133284999999999,0.0,1.4131954000000002,0.0149918,0.0,0.0,0.0,0.3311115,0.0,0.0,0.0,0.0,0.19800030000000002,0.0,3.5132544999999995,0.5933584000000001,0.1003607,0.5187892000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
1ebw,9.05,117,87,30,0,3.1444467000000005,3.0087632999999996,6.15321,0.9388949,0.18289,0.0,1.1498804,0.0,0.0,0.0,1.2608091,0.0,1.3806166999999998,0.1751286,0.0,0.0,0.0,0.1869351,0.0,0.0,0.0,0.0,0.2769695,0.6010857000000001,4.796044200000001,0.33634529999999996,0.0157128,1.0051077,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1eby,9.7,116,83,32,1,2.8549510000000002,2.7788487000000006,5.633799700000001,0.409099,0.14208939999999998,0.0,2.1787053,0.0,0.0,0.0,0.8094743,0.0,0.9374048000000001,0.1857418,0.0,0.0,0.0,0.19992300000000002,0.0,0.0,0.0,0.0,0.3358469,0.4355152,4.0287821,0.7766375,0.0,0.8283801,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1ebz,9.4,105,77,28,0,2.7870939000000003,2.7152949000000004,5.5023888,0.6069485000000001,0.17669780000000002,0.0,1.9071992,0.0,0.0,0.0,1.0457155,0.0,0.5950716,0.24136429999999998,0.0,0.0,0.0,0.18048550000000002,0.0,0.0,0.0,0.0,0.2593857,0.48952070000000003,4.004463,0.5903634,0.0,0.9075624,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1ec0,8.49,120,80,40,0,2.8934690000000005,2.8664311,5.7599001,0.4303192,0.2570679,0.0,2.0756997,0.0,0.0,0.0,0.9225937,0.0,0.7199914999999999,0.22310080000000002,0.0,0.0,0.0,0.1448315,0.0,0.0,0.0,0.0,0.3510833,0.6352125,3.9903999,0.8117752,0.0,0.8323505,0.1253745,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
1ec1,8.92,122,92,30,0,3.5012678000000004,3.4567821,6.958049900000001,0.7415792000000001,0.0695489,0.0,2.0105272999999997,0.0,0.0,0.0,1.4963785999999994,0.0,0.9849232000000001,0.204071,0.0,0.0,0.0924179,0.27046020000000004,0.0,0.0,0.0,0.0,0.2517551,0.8363885,5.1625727,0.42677600000000004,0.0,1.1796105,0.0,0.0,0.1890907,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1ec2,10.0,116,85,30,1,3.207159199999999,3.1395748999999995,6.346734099999999,0.9115580000000001,0.14589790000000002,0.0,1.7666959000000002,0.0,0.0,0.0,1.5272523999999998,0.0,0.7497176,0.1861547,0.0,0.0,0.0736118,0.2195216,0.0,0.0,0.0,0.0,0.2448312,0.521493,4.5858956,0.49097310000000005,0.0438015,1.2260639,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1ec3,9.04,106,78,28,0,3.3424796,3.3177453,6.660224899999999,0.7769981000000001,0.3940473,0.0,1.5642584,0.0,0.0,0.0,1.212778,0.0,1.1855632999999999,0.10487269999999999,0.0,0.0,0.042138499999999995,0.518799,0.0,0.0,0.0,0.0,0.23111000000000004,0.6296596000000001,5.1550733,0.4080174,0.0406465,1.0564877,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1g2k,7.96,94,63,29,2,2.3168368,2.4674914,4.7843282,0.3722938,0.08641960000000001,0.0,1.9493353,0.0,0.0,0.0,0.5913224,0.0,1.164707,0.0405229,0.0,0.0,0.0,0.13459690000000002,0.0,0.0,0.0,0.0,0.2571496,0.1879807,2.5813935999999997,0.7305172,0.0,1.4279781000000002,0.0,0.0,0.0444393,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1g35,8.14,104,69,34,1,2.768018,2.8584407,5.626458700000001,0.2485964,0.6479626,0.0,2.0631468,0.0,0.0,0.0,0.6763089,0.0,0.9567913,0.1131296,0.0,0.0,0.0,0.1843417,0.0,0.0,0.0,0.0,0.11858250000000001,0.6175989000000001,3.3191124999999992,0.5415217999999999,0.0,1.7459111,0.0,0.0,0.019913300000000002,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1gnm,6.25,75,48,27,0,3.8427331999999996,3.9390071,7.781740299999999,0.46944410000000003,0.7393126999999999,0.0,2.0566274,0.0,0.0,0.0,1.7237679999999997,0.0,1.5095518,0.10734859999999999,0.0,0.0,0.0,0.8846299,0.0,0.0,0.0,0.0,0.0,0.29105780000000003,5.5017407,0.25827269999999997,0.11351329999999998,1.9082136000000003,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1gnn,5.68,91,63,28,0,4.064423,4.0132274,8.0776504,0.4008,0.8618614,0.6135592999999999,1.9246075,0.0,0.0,0.0,1.5942256,0.0,1.5091831999999998,0.062445,0.0,0.0,0.0,0.6015954,0.0,0.0,0.0,0.0,0.0,0.509373,6.109234000000001,0.27946460000000006,0.2894792,1.3994726000000002,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1gno,7.7,90,58,32,0,3.8126466,3.7723459000000004,7.5849925,0.7305797,0.4613777,0.0,1.9066115000000001,0.0,0.0,0.0,2.1542913,0.0,1.069772,0.1607167,0.0,0.0,0.0,0.2948995,0.0,0.0,0.0,0.0,0.2309064,0.5758377,5.5064911,0.0835179,0.0,1.9949834999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1hbv,6.37,75,55,20,0,2.0096714,2.0038773,4.0135487,0.44659530000000003,0.245362,0.0,0.6605957,0.0,0.0,0.0,1.0481486,0.0,1.1946854,0.023286,0.0,0.0,0.0,0.0821491,0.0,0.0,0.0,0.0,0.2217374,0.0909892,3.2568045000000003,0.3181838,0.0,0.4385604,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1hih,8.05,99,73,25,1,2.5414049,2.3854163,4.9268212,0.7269451,0.1641925,0.0,1.0806102000000002,0.0,0.0,0.0,1.2373614000000002,0.0,0.7067251,0.0288704,0.0,0.0,0.0,0.1151383,0.0,0.0,0.0,0.0,0.38894,0.4780382,3.4920939000000004,0.429404,0.0,1.0053233000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1hos,8.55,93,63,30,0,2.5038942,2.312579199999999,4.8164734,0.5621967999999999,0.0,0.0,0.34418950000000004,0.0,0.0,0.0,1.8192122,0.0,1.1855210999999999,0.0230455,0.0,0.0,0.0,0.29680439999999997,0.0,0.0,0.0,0.0,0.29642709999999994,0.2890768,3.3849399,0.5993925,0.0,0.832141,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1hpo,9.22,74,52,21,1,1.6882049000000001,1.6575797,3.3457846,0.15615990000000002,0.21087099999999998,0.0,0.9195930000000001,0.0,0.0,0.0,0.853376,0.0,0.759455,0.11971090000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230763,0.0958558,2.1098023,0.4174312,0.1028915,0.7156596000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hps,9.22,92,63,28,1,2.5783541,2.5019778,5.0803319,0.6288156,0.1780202,0.0,1.1786898,0.0,0.0,0.0,1.6160797999999998,0.0,0.8434359,0.041253899999999996,0.0,0.0,0.0,0.2369052,0.0,0.0,0.0,0.0,0.19590180000000001,0.1612297,3.8203405999999998,0.20531080000000002,0.0705933,0.9840872,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hpv,9.22,59,47,12,0,1.1300725999999999,1.1362480000000001,2.2663206000000002,0.0771178,0.0,0.0,0.8858394,0.0,0.0,0.0,0.36342409999999997,0.0,0.5324264999999999,0.022568900000000003,0.0,0.0,0.0,0.1713816,0.0,0.0,0.0,0.0,0.0883405,0.1252218,0.6193029999999999,0.5854751,0.2587983,0.8027442,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hpx,11.26,94,69,25,0,2.2275224999999996,2.0900575999999997,4.317580099999999,0.3777689,0.0696683,0.0,0.9970904999999999,0.0,0.0,0.0,0.9273645000000001,0.0,1.0689587,0.0,0.0,0.0,0.0,0.1616324,0.0,0.0,0.0,0.0,0.2691918,0.445905,3.0591619999999997,0.47040100000000007,0.0,0.6303614,0.0,0.0,0.1576557,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1hvh,7.96,62,46,16,0,2.3577939,2.4321004999999998,4.7898944,0.0900792,0.2256215,0.0,2.4340373,0.0,0.0,0.0,0.3347911,0.0,1.010458,0.0,0.0,0.0,0.0,0.2159571,0.0,0.0,0.0,0.0,0.2436634,0.2352868,3.4759179000000002,0.4568392,0.5322769,0.32486039999999994,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hvi,10.92,103,72,31,0,2.3762507,2.2661476,4.6423983,0.46224319999999997,0.2691445,0.0,1.2075911000000001,0.0,0.0,0.0,1.0756532,0.0,0.8580587,0.0454647,0.0,0.0,0.0,0.2817946,0.0,0.0,0.0,0.0,0.2712155,0.17123280000000002,3.1721874,0.5109146,0.0775764,0.8817199,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1hvj,11.4,104,75,29,0,2.4047646,2.2479847,4.6527493,0.4581782000000001,0.32668759999999997,0.0,1.1018483,0.0,0.0,0.0,1.1094917,0.0,0.9782225999999998,0.1006325,0.0,0.0,0.0,0.199525,0.0,0.0,0.0,0.0,0.2071096,0.17105379999999998,3.0709425,0.7290585999999999,0.061618599999999996,0.7911296000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
